type;regex;example_1;example_2
delisted/dead;\sdead[\s-]?'?[0-9]{1,2}\s?[0-9]{1,2}\s?[0-9]{2,4}\sdelisted'?$;advent limited dead-27/08/93 delisted;central coast dead- '15/06/92 delisted
delisted/dead;\sdead[\s-]?delisted\s'?[0-9]{1,2}\s?[0-9]{1,2}\s?[0-9]{2,4}'?$;leisure industries international dead-?delisted 15/12/93;
delisted/dead;\sdead[\s-]?'?[0-9]{1,2}\s?[0-9]{1,2}\s?[0-9]{2,4}\sdlisted'?$;olims consolidated?dead- '06/08/93 dlisted';
delisted;\sdelisted[\s-]?[0-9]{1,2}\s?[0-9]{1,2}\s?[0-9]{2,4}$;afro west mining delisted 11/11/92;
delisted;\sdead-delisted[\s-]?[0-9]{1,2}\s?[0-9]{1,2}\s?[0-9]{2,4}$;associated dairies dead-delisted 22/12/93;
delisted;\s'?[0-9]{1,2}\s?[0-9]{1,2}\s?[0-9]{1,2}\sdelisted'?$;chew corporation '02/09/92?delisted';
delisted/dead;\sdead[\s-]?delisted$;finop holding dead -?delisted;
delisted;\s\(?delisted[\s-]?[0-9]{1,2}\s?[0-9]{1,2}\s?[0-9]{1,2}\)?$;ballin and hertz (delisted-29/03/93);himmerslandsbanken?delisted?30/8/93
delisted;\sdelisted[\s-]?[0-9]{1,2}\s?[0-9]{1,2}\s?[0-9]{2,4}$;jb world invest delisted - 02/07/93;
delisted;\sdelisted$;caiystane capital?delisted;
delisted;\sdelisted\son[\s-]?[0-9]{1,2}\s?[0-9]{1,2}\s?[0-9]{2,4}$;bendix france delisted on 17/10/91;
delisted;\s\(delisted[\s-]?[0-9]{1,2}\s?[0-9]{1,2}\s?[0-9]{2,4}\)$;selection invest (delisted?- 13/07/93);
delisted;\sdelisted[\s-]?[0-9]{1,2}\s?[0-9]{1,2}\ssee\s[0-9]+$;hong kong telephone?delisted?2/88 see 771005;
delisted;\s\(delisted\snovember\s89\)$;sissigeno (delisted?november 89);
delisted;\sdelisted\sliquidated$;unipar?delisted?liquidated;
delisted;\sdelisted\ssince\s[0-9]{1,2}\s?[0-9]{1,2}\s?[0-9]{2,4}$;dacke b?delisted?since 01/06/90;
delisted;\sdelisted\s04\s?11\s?$;magnetic materials?delisted?04/11/;
delisted;\sdelisted\s\(see\s326817\)$;shared technology?delisted?(see 326817);
dead/takeover;\sdead-taken\sover\sby\s[0-9]+$;arrow?dead-taken over by 646191;
dead/merger;\sdead-merger\s[0-9]+$;australian pacific technology?dead-merger 600818;
dead/takeover;\sdead[\s-]?'?[0-9]{1,2}\s?[0-9]{1,2}\s?[0-9]{2,4}\stakeover$;austen and butta?dead- '05/08/92 takeover;
dead;\sdead[\s-]?'?[0-9]{1,2}\s?[0-9]{1,2}\s?[0-9]{2,4}$;battery group?dead- 27/08/93;
dead;\sdead$;compression and encryption technology?dead;
dead;\sdead\s[0-9]{1,2}\.[0-9]{1,2}\.[0-9]{2,4}$;mitachi electric?dead?20.04.93;
dead/merger;\sdead-merger\swith\sbc\sgas$;transmountain pipeline?dead-merger with bc gas;
dead;\s[0-9]{1,2}\s?[0-9]{1,2}\s?[0-9]{2,4}\sdead$;service bank genussscheine 7.25% 31/12/2003?dead;
dead;dead\s[0-9]{1,2}\s?[0-9]{1,2}\s?[0-9]{2,4}\suse\s[0-9]+$;dead?04/01/93 use 772963;
dead;\s\(?dead\ssee[\s-]?[0-9]+x?\)?$;grand passage b (dead see - 929884);ecofin water and power income shares?dead?see 15225x
dead;\sdead\suse\s[0-9]+$;gorthon investment?dead?use 504038;
dead;\sdead\s\(?[0-9]{1,2}\s?[0-9]{1,2}\s?[0-9]{2,4}\)?$;pennant property dead (02/05/90);
dead/merger;\sdead\smerged\s[0-9]+$;capitalia?dead?merged 929395;
dead/merger;\sdead\smerger\s[0-9]{1,2}\s?[0-9]{2,4};welkom gold adr 1 adr = 1 share?dead?merger 4/94;
dead/merger;\sdead[\s-]?merger\swith\s[0-9]+$;advacare?dead-merger with 545838;
dead/takeover;\sdead\stakeover\s[0-9]{1,2}\s?[0-9]{1,2}\s?[0-9]{2,4}$;harding group dead takeover 16/10/91;
dead;\sdead[\s-]?expired\s[0-9]{1,2}\s?[0-9]{1,2}\s?[0-9]{2,4}$;sfm dead - expired 21/10/94;
dead;\sdead[\s-]?cancelled\s[0-9]{1,2}\s?[0-9]{1,2}\s?[0-9]{2,4}$;fields (mrs) dead cancelled 9/3/93;
dead;\sdead\slimited\sdata$;hotelagos?dead?limited data;
dead/merger;\sdead[\s-]?merger\s[0-9]{1,2}\s?[0-9]{1,2}\s?[0-9]{2,4}$;paine webber premier inter tax free?dead?- merger 28/11/94;
dead/merger;\sdead\smerger$;evergreen municipal trust tax exempt money market fund california?dead?merger;
takeover;\s\(?takeover\sby\s[0-9]+\)?$;ifh int fruchthld (takeover by 142338);
takeover;\stakeover\s[0-9]{1,2}\s?[0-9]{1,2}\s?[0-9]{2,4}\s[0-9]+$;siemens nixdorf informationssysteme?takeover?5/5/92 902192;
takeover;\s[0-9]{1,2}\s?[0-9]{1,2}\s?[0-9]{2,4}\stakeover\s[0-9]+$;stinnes 27/07/92 takeover 916235;
takeover;\stakeover[\s|-][0-9]+[\s|-][0-9]{1,2}\s?[0-9]{1,2}\s?[0-9]{2,4}$;davies and metcalfe?takeover?914497 06/12/90;
takeover;\s[0-9]+\stakeover\s[0-9]{1,2}\s?[0-9]{1,2}\s?[0-9]{2,4}$;snia techolimeri 779007?takeover?1/7/93;
