abbr.;full_name
co ltd;company limited
gmbh;Gesellschaft mit beschränkter Haftung
co inc;company incorporated
ltda;Limitada
ltd;limited
llc;limited liability company
l.l.c;limited liability company
pty ltd;Proprietary Limited
srl;Società a responsabilità limitata
s.r.l;Società a responsabilità limitata
bhd;Berhad
sro;Společnost s ručením omezeným
s.r.o;Společnost s ručením omezeným
nv;naamloze vennootschap
n.v;naamloze vennootschap
bv;besloten vennootschap
b.v;besloten vennootschap
gmbh & co kg;Gesellschaft mit Beschränkter Haftung & company Kommanditgesellschaft
g.m.b.h & co. kg;Gesellschaft mit Beschränkter Haftung & company Kommanditgesellschaft
sa;Société anonyme
s.a.;Société anonyme
s.a;Société anonyme
inc;incorporated
limited;limited
