abbr.;LEN;full_name_local;full_name_english;country
;0;Společný podnik;Joint venture;CZ
;0;Zájmové sdružení;Special interest club;CZ
;0;Nadace;Foundation;CZ
;0;Nadační fond;Foundation fund;CZ
;0;Komoditní burza;Commodity exchange;CZ
;0;Garanční fond obchodníků s cennými papíry;Guarantee Fund of Investment Firms;CZ
;0;Ústav;Institute;CZ
;0;Družstvo;Cooperative;CZ
;0;Česká národní banka;Czech National Bank;CZ
;0;Organizační složka státu;Organisational unit of the state;CZ
;0;Stálý rozhodčí soud;Permanent Court of Arbitration;CZ
;0;Příspěvková organizace;Subsidised organisation, semi-budgetary organisation;CZ
;0;Správa železniční dopravní cesty, státní organizace;Railway Transport Route Administration (state organisation);CZ
;0;Rada pro veřejný dohled nad auditem;Council for Public Audit Supervision;CZ
;0;Veřejnoprávní instituce (ČT,ČRo,ČTK);Public law institution (Czech Television, Czech Radio, Czech Press Agency);CZ
;0;Fond (ze zákona);Fund (statutory);CZ
;0;Zdravotní pojišťovna;Health insurance company;CZ
;0;Odštěpný závod nebo jiná organizační složka podniku zapisující se do obchodního rejstříku;Branch or other organisational unit of an incorporated enterprise;CZ
;0;Samostatná drobná provozovna obecního úřadu;Independent small office of a municipal office;CZ
;0;Podílový nebo penzijní fond;Unit trust or pension fund;CZ
;0;Vysoká škola;University, college;CZ
;0;Školská právnická osoba;Educational legal entity;CZ
;0;Veřejná výzkumná instituce;Public research institution;CZ
;0;Odborová organizace a organizace zaměstnavatelů;Trade union organisation and emloyers’ organisation;CZ
;0;Zvláštní organizace pro zastoupení českých zájmů v mezinárodních nevládních organizacích;Special organisation to represent Czech interests in international non-governmental organisations;CZ
;0;Podnik nebo hospodářské zařízení sdružení;Enterprise or economic organisation of an association;CZ
;0;Spolek;Society;CZ
;0;Politická strana, politické hnutí;Political party, political movement;CZ
;0;Podnik nebo hospodářské zařízení politické strany;Enterprise or economic organisation of a political party;CZ
;0;Církevní organizace a náboženské společnosti;Church organisation and religious societes;CZ
;0;Evidované církevní právnické osoby;Registered church (legal entity);CZ
;0;Svazy církví a náboženských společností ;Unions of churches and religious societies;CZ
;0;Organizační jednotka sdružení;Organisational unit of an association;CZ
;0;Organizační jednotka politické strany nebo politického hnutí;Organisational unit of a political party or political movement;CZ
;0;Organizační jednotka odborové organizace a organizace zaměstnavatelů;Organisational unit of a trade union organisation and emloyers’ organisation;CZ
;0;Organizační jednotka zvláštní organizace pro zastoupení českých zájmů v mezinárodních nevládních organizacích;Organisational unit of the special organisation to represent Czech interests in international non-governmental organisations;CZ
;0;Pobočný spolek;Subsidiary society;CZ
;0;Stavovská organizace - profesní komora;Professional chamber;CZ
;0;Komora (s výjimkou profesních komor);Chamber (excluding professional chambers);CZ
;0;Zájmové sdružení právnických osob;Special interest club of legal entities;CZ
;0;Honební společenstvo;Hunting society;CZ
