le_abbr;le_stand;le_full;le_country;source
AA;AA;Association agricole;LU;ECB
AAM;AAM;Association d'assurances mutuelles;LU;ECB
AAM;AAM;Association d'assurances mutuelles;BE;ECB
AB;AB;Bankaktiebolag;SE;ECB
AB;AB;Försäkringsaktiebolag;SE;ECB
AB;AB;Övriga aktiebolag;SE;ECB
ab;AB;Osakeyhtiö;FI;ECB
AB;AB;Akcinė bendrovė;LT;ECB
AB PUBL;AB (PUBL);Public Bankaktiebolag;SE;OWN
ACE;ACE;Agrupamento Complementar de Empresas;PT;ECB
ACMISS;ACMISS;Association chargée de mission;BE;ECB
ACP;ACP;Association des copropriétaires;BE;ECB
AD;AD;Акционерно дружество;BG;ECB
ADSIC;ADSIC;Акционерно дружество със специална инвестиционна цел;BG;ECB
AG;AG;Aktiengesellschaft;AT;ECB
AG;AG;Aktiengesellschaft;DE;ECB
AG;AG;Aktiengesellschaft;BE;ECB
AG & Co KG;AG & CO KG;Aktiengesellschaft & Compagnie Kommanditgesellschaft;DE;ECB
AG & Co KGaA;AG & CO KGAA;Aktiengesellschaft & Compagnie Kommanditgesellschaft an Aktien;DE;ECB
AG & Co OHG;AG & CO OHG;Aktiengesellschaft & Compagnie offene Handelsgesellschaft;DE;ECB
AGmsZ;AGMSZ;Aktiengesellschaft mit sozialer Zielsetzung;BE;ECB
AIE;AIE;Agrupación de Interés económico;ES;ECB
AIMP;AIMP;AZIENDA PROVINCIALE;IT;ECB
AISBL;AISBL;Association internationale sans but lucratif;BE;ECB
AM;AM;Association momentanée;LU;ECB
amba;AMBA;Andelsselskab (-forening) begr. ansvar;DK;ECB
AöR;AÖR;Anstalt des öffentlichen Rechts;DE;ECB
APB;APB;Advokatų profesinė bendrija;LT;ECB
APROJ;APROJ;Association de projet;BE;ECB
ApS;APS;Anpartselskab;DK;ECB
as;AS;Akciová společnost;CZ;ECB
as;AS;Akciová spoločnosť;SK;ECB
AS;AS;Aktsiaselts;EE;ECB
AS;AS;Akciju sabiedrība;LV;ECB
AS;AS;anonim şirketi;TR;OWN
AS;AS;anonim şirketler;TR;OWN
AS;AS;Anonim Şirket;TR;OWN
as oy;AS OY;Asunto-osakeyhtiö;FI;ECB
ASA;ASA;Allmennaksjeselskap ;NO;OWN
ASBL;ASBL;Association sans but lucratif;LU;ECB
ASBL;ASBL;Association sans but lucratif;BE;ECB
ASBL DPU;ASBL DPU;Association sans but lucratif de droit public;BE;ECB
ASS SERV;ASS SERV;Association prestataire de services;BE;ECB
AssCPAS;ASSCPAS;Association de CPAS;BE;ECB
ASSEP;ASSEP;Association d'épargne pension;LU;ECB
Assoc;ASSOC;Associação;PT;ECB
AutGemRg;AUTGEMRG;Autonome Gemeinderegie;BE;ECB
AUTOGEMB;AUTOGEMB;Autonoom gemeentebedrijf;BE;ECB
AUTOPRB;AUTOPRB;Autonoom provinciebedrijf;BE;ECB
AUTOPROV;AUTOPROV;Autorité provinciale;BE;ECB
AutPrvRg;AUTPRVRG;Autonome Provinzialregie;BE;ECB
BeG;BEG;Betriebe der Gebietskörperschaften;DE;ECB
BHD;BHD;Berhad;MY;Own
BI;BI;Biudžetinė įstaiga;LT;ECB
BN;BN;Bendrija;LT;ECB
BRF;BRF;Bostadsrättsförening;SE;ECB
BRUHOOGE;BRUHOOGE;Overheid van het Brusselse Hoofdstedelijk Gewest;BE;ECB
Bt;BT;Betéti társaság;HU;ECB
BTWE;BTWE;BTW-eenheid;BE;ECB
BV;BV;Besloten vennootschap;NL;ECB
BV;BV;Berufsvereinigung;BE;ECB
BV;BV;Beroepsvereniging;BE;ECB
BV BVBA;BV BVBA;Burgerlijke vennootschap onder vorm van besloten vennootschap met beperkte aansprakelijkheid;BE;ECB
BV CVA;BV CVA;Burgerlijke vennootschap onder vorm van commanditaire vennootschap op aandelen;BE;ECB
BV CVBA;BV CVBA;Burgerlijke vennootschap onder vorm van coöperatieve vennootschap met beperkte aansprakelijkheid;BE;ECB
BV CVOA;BV CVOA;Burgerlijke vennootschap onder vorm van coöperatieve vennootschap met onbeperkte aansprakelijkheid;BE;ECB
BV GCV;BV GCV;Burgerlijke vennootschap onder vorm van gewone commanditaire vennootschap;BE;ECB
BV LV;BV LV;Burgerlijke Vennootschap onder vorm van Landbouwvennootschap;BE;ECB
BV NV;BV NV;Burgerlijke vennootschap onder vorm van naamloze vennootschap;BE;ECB
