legal_entity_abbr;legal_entity_stan;legal_entity_full;country;source
AA;AA;Association agricole;LU;
AAM;AAM;Association d'assurances mutuelles;LU | BE;
AB;AB;Bankaktiebolag | Försäkringsaktiebolag | Övriga aktiebolag | Osakeyhtiö | Akcinė bendrovė;SE | SE | SE | FI | LT;
ACE;ACE;Agrupamento Complementar de Empresas;PT;
ACMISS;ACMISS;Association chargée de mission;BE;
ACP;ACP;Association des copropriétaires;BE;
AD;AD;Акционерно дружество;BG;
ADSIC;ADSIC;Акционерно дружество със специална инвестиционна цел;BG;
AG;AG;Aktiengesellschaft;AT | DE | BE;
AG & Co KG;AG & CO KG;Aktiengesellschaft & Compagnie Kommanditgesellschaft;DE;
AG & Co KGaA;AG & CO KGAA;Aktiengesellschaft & Compagnie Kommanditgesellschaft an Aktien;DE;
AG & Co OHG;AG & CO OHG;Aktiengesellschaft & Compagnie offene Handelsgesellschaft;DE;
AGmsZ;AGMSZ;Aktiengesellschaft mit sozialer Zielsetzung;BE;
AIE;AIE;Agrupación de Interés económico;ES;
AIMP;AIMP;AZIENDA PROVINCIALE;IT;
AISBL;AISBL;Association internationale sans but lucratif;BE;
AM;AM;Association momentanée;LU;
amba;AMBA;Andelsselskab (-forening) begr. ansvar;DK;
AöR;AÖR;Anstalt des öffentlichen Rechts;DE;
APB;APB;Advokatų profesinė bendrija;LT;
APROJ;APROJ;Association de projet;BE;
ApS;APS;Anpartselskab;DK;
as;AS;Akciová společnost | Aktsiaselts | Akciju sabiedrība;CZ | SK | EE | LV;
as oy;AS OY;Asunto-osakeyhtiö;FI;
ASBL;ASBL;Association sans but lucratif;LU | BE;
ASBL DPU;ASBL DPU;Association sans but lucratif de droit public;BE;
ASS SERV;ASS SERV;Association prestataire de services;BE;
AssCPAS;ASSCPAS;Association de CPAS;BE;
ASSEP;ASSEP;Association d'épargne pension;LU;
Assoc;ASSOC;Associação;PT;
AutGemRg;AUTGEMRG;Autonome Gemeinderegie;BE;
AUTOGEMB;AUTOGEMB;Autonoom gemeentebedrijf;BE;
AUTOPRB;AUTOPRB;Autonoom provinciebedrijf;BE;
AUTOPROV;AUTOPROV;Autorité provinciale;BE;
AutPrvRg;AUTPRVRG;Autonome Provinzialregie;BE;
BeG;BEG;Betriebe der Gebietskörperschaften;DE;
BI;BI;Biudžetinė įstaiga;LT;
BN;BN;Bendrija;LT;
BRF;BRF;Bostadsrättsförening;SE;
BRUHOOGE;BRUHOOGE;Overheid van het Brusselse Hoofdstedelijk Gewest;BE;
Bt;BT;Betéti társaság;HU;
BTWE;BTWE;BTW-eenheid;BE;
BV;BV;Besloten vennootschap | Berufsvereinigung | Beroepsvereniging;NL | BE | BE;
BV BVBA;BV BVBA;Burgerlijke vennootschap onder vorm van besloten vennootschap met beperkte aansprakelijkheid;BE;
BV CVA;BV CVA;Burgerlijke vennootschap onder vorm van commanditaire vennootschap op aandelen;BE;
BV CVBA;BV CVBA;Burgerlijke vennootschap onder vorm van coöperatieve vennootschap met beperkte aansprakelijkheid;BE;
BV CVOA;BV CVOA;Burgerlijke vennootschap onder vorm van coöperatieve vennootschap met onbeperkte aansprakelijkheid;BE;
BV GCV;BV GCV;Burgerlijke vennootschap onder vorm van gewone commanditaire vennootschap;BE;
BV LV;BV LV;Burgerlijke Vennootschap onder vorm van Landbouwvennootschap;BE;
BV NV;BV NV;Burgerlijke vennootschap onder vorm van naamloze vennootschap;BE;
BV VOF;BV VOF;Burgerlijke vennootschap onder vorm van vennootschap onder firma;BE;
BVB;BVB;Berg van Barmhartigheid;BE;
BVBA;BVBA;Besloten vennootschap met beperkte aansprakelijkheid;BE;
BVBA SO;BVBA SO;Besloten vennootschap met beperkte aansprakelijkheid met een sociaal oogmerk;BE;
BVerFL;BVERFL;Beauftragte Vereinigung;BE;
CB;CB;Centrinis bankas;LT;
CIAS;CIAS;Centre Intercommunal d'action sociale;FR;
CLA;CLA;Αστική Εταιρεία;GR;
CLF;CLF;Σωματεία - Ιδρύματα;GR;
CLG;CLG;Company Limited by Guarantee;IE;
Co Inc;CO INC;Company Incorporated;GB;Own
Co Ltd;CO LTD;Company Limited;;
Coman;COMAN;Sociedades em Comandita;PT;
COMGERMA;COMGERMA;Autorité de la Communauté germanophone;BE;
COMMFRAN;COMMFRAN;Autorité de la Communauté française;BE;
COMMUNES;COMMUNES;Ville;BE;
CommV;COMMV;Gewone commanditaire vennootschap;BE;
CommVA;COMMVA;Commanditaire vennootschap op aandelen;BE;
Coop;COOP;Кооперация | Συνεργατικά Πιστωτικά Ιδρύματα | Συνεταιρισμός | SOCIETA' COOPERATIVA | Cooperatives | Cooperativa;BG;
CPAS;CPAS;Centre public d'action sociale;BE;
CRC;CRC;Bendras valdymo ir pranešimų centras;LT;
CUMA;CUMA;Coopérative d'utilisation de matériel agricole en commun;FR;
CVA SO;CVA SO;Commanditaire vennootschap op aandelen met een sociaal oogmerk;BE;
CVBA;CVBA;Coöperatieve vennootschap met beperkte aansprakelijkheid;BE;
CVBA PR;CVBA PR;Coöperatieve vennootschap met beperkte aansprakelijkheid van publiek recht;BE;
CVBA SO;CVBA SO;Coöperatieve vennootschap met beperkte aansprakelijkheid met een sociaal oogmerk;BE;
CVOA;CVOA;Coöperatieve vennootschap met onbeperkte aansprakelijkheid;BE;
CVOA CD;CVOA CD;Coöperatieve vennootschap met onbeperkte aansprakelijkheid, bij wijze van deelneming van publiek recht;BE;
CVOA SO;CVOA SO;Coöperatieve vennootschap met onbeperkte aansprakelijkheid met een sociaal oogmerk;BE;
DAC;DAC;Designated Activity Company;IE;
dd;DD;Dioničko društvo | Delniška družba;HR |SI;
DG;DG;Behörde der Deutschsprachigen Gemeinschaft;BE;
DIENSTV;DIENSTV;Dienstverlenende vereniging;BE;
DlvFL;DLVFL;Dienstleistungsvereinigung;BE;
dno;DNO;Družba z neomejeno odgovornostjo;SI;
doo;DOO;Društvo s ograničenom odgovornošću | Družba z omejeno odgovornostjo;HR |SI;
DUITGEME;DUITGEME;Overheid van de Duitstalige Gemeenschap;BE;
dvz;DVZ;Družba za vzajemno zavarovanje;SI;
