type;unicode;character;hex;name;replace
ASCII;U+0000;;\x00;<control>;<space>
ASCII;U+0001;;\x01;<control>;<space>
ASCII;U+0002;;\x02;<control>;<space>
ASCII;U+0003;;\x03;<control>;<space>
ASCII;U+0004;;\x04;<control>;<space>
ASCII;U+0005;;\x05;<control>;<space>
ASCII;U+0006;;\x06;<control>;<space>
ASCII;U+0007;;\x07;<control>;<space>
ASCII;U+0008;;\x08;<control>;<space>
ASCII;U+0009;;\x09;<control>;<space>
ASCII;U+000A;;\x0A;<control>;<space>
ASCII;U+000B;;\x0B;<control>;<space>
ASCII;U+000C;;\x0C;<control>;<space>
ASCII;U+000D;;\x0D;<control>;<space>
ASCII;U+000E;;\x0E;<control>;<space>
ASCII;U+000F;;\x0F;<control>;<space>
ASCII;U+0010;;\x10;<control>;<space>
ASCII;U+0011;;\x11;<control>;<space>
ASCII;U+0012;;\x12;<control>;<space>
ASCII;U+0013;;\x13;<control>;<space>
ASCII;U+0014;;\x14;<control>;<space>
ASCII;U+0015;;\x15;<control>;<space>
ASCII;U+0016;;\x16;<control>;<space>
ASCII;U+0017;;\x17;<control>;<space>
ASCII;U+0018;;\x18;<control>;<space>
ASCII;U+0019;;\x19;<control>;<space>
ASCII;U+001A;;\x1A;<control>;<space>
ASCII;U+001B;;\x1B;<control>;<space>
ASCII;U+001C;;\x1C;<control>;<space>
ASCII;U+001D;;\x1D;<control>;<space>
ASCII;U+001E;;\x1E;<control>;<space>
ASCII;U+001F;;\x1F;<control>;<space>
ASCII;U+0020;;\x20;SPACE;<none>
ASCII;U+0021;!;\x21;EXCLAMATION MARK;<space>
ASCII;U+0022;"""";\x22;QUOTATION MARK;<space>
ASCII;U+0023;#;\x23;NUMBER SIGN;<space>
ASCII;U+0024;$;\x24;DOLLAR SIGN;<space>
ASCII;U+0025;%;\x25;PERCENT SIGN;<space>
ASCII;U+0026;&;\x26;AMPERSAND;<space>and<space>
ASCII;U+0027;';\x27;APOSTROPHE;<del>
ASCII;U+002A;*;\x2A;ASTERISK;<space>
ASCII;U+002B;+;\x2B;PLUS SIGN;<space>and<space>
ASCII;U+002C;,;\x2C;COMMA;<space>
ASCII;U+002D;-;\x2D;HYPHEN-MINUS;<space>
ASCII;U+002E;.;\x2E;FULL STOP;<space>
ASCII;U+002F;/;\x2F;SOLIDUS;<space>
ASCII;U+003A;:;\x3A;COLON;<space>
ASCII;U+003B;";";\x3B;SEMICOLON;<space>
ASCII;U+003C;<;\x3C;LESS-THAN SIGN;<space>
ASCII;U+003D;=;\x3D;EQUALS SIGN;<space>
ASCII;U+003E;>;\x3E;GREATER-THAN SIGN;<space>
ASCII;U+003F;?;\x3F;QUESTION MARK;<space>
ASCII;U+0040;@;\x40;COMMERCIAL AT;<space>
ASCII;U+005B;[;\x5B;LEFT SQUARE BRACKET;<space>
ASCII;U+005C;\;\x5C;REVERSE SOLIDUS;<space>
ASCII;U+005D;];\x5D;RIGHT SQUARE BRACKET;<space>
ASCII;U+005E;^;\x5E;CIRCUMFLEX ACCENT;<space>
ASCII;U+005F;_;\x5F;LOW LINE;<space>
ASCII;U+0060;`;\x60;GRAVE ACCENT;<space>
ASCII;U+007B;{;\x7B;LEFT CURLY BRACKET;<space>
ASCII;U+007C;|;\x7C;VERTICAL LINE;<space>
ASCII;U+007D;};\x7D;RIGHT CURLY BRACKET;<space>
ASCII;U+007E;~;\x7E;TILDE;<space>
ASCII;U+007F;;\x7F;<control>;<space>
ASCII;U+0080;;\x80;<control>;<space>
ASCII;U+0081;;\x81;<control>;<space>
ASCII;U+0082;;\x82;<control>;<space>
ASCII;U+0083;;\x83;<control>;<space>
ASCII;U+0084;;\x84;<control>;<space>
ASCII;U+0085;;\x85;<control>;<space>
ASCII;U+0086;;\x86;<control>;<space>
ASCII;U+0087;;\x87;<control>;<space>
ASCII;U+0088;;\x88;<control>;<space>
ASCII;U+0089;;\x89;<control>;<space>
ASCII;U+008A;;\x8A;<control>;<space>
ASCII;U+008B;;\x8B;<control>;<space>
ASCII;U+008C;;\x8C;<control>;<space>
ASCII;U+008D;;\x8D;<control>;<space>
ASCII;U+008E;;\x8E;<control>;<space>
ASCII;U+008F;;\x8F;<control>;<space>
ASCII;U+0090;;\x90;<control>;<space>
ASCII;U+0091;;\x91;<control>;<space>
ASCII;U+0092;;\x92;<control>;<space>
ASCII;U+0093;;\x93;<control>;<space>
ASCII;U+0094;;\x94;<control>;<space>
ASCII;U+0095;;\x95;<control>;<space>
ASCII;U+0096;;\x96;<control>;<space>
ASCII;U+0097;;\x97;<control>;<space>
ASCII;U+0098;;\x98;<control>;<space>
ASCII;U+0099;;\x99;<control>;<space>
ASCII;U+009A;;\x9A;<control>;<space>
ASCII;U+009B;;\x9B;<control>;<space>
ASCII;U+009C;;\x9C;<control>;<space>
ASCII;U+009D;;\x9D;<control>;<space>
ASCII;U+009E;;\x9E;<control>;<space>
ASCII;U+009F;;\x9F;<control>;<space>
ASCII;U+00A0;;\xA0;NO-BREAK SPACE;<space>
other;;;(\s+)?\((\s+)?;;<space>(
other;;;(\s+)?\)(\s+)?;;)<space>
