type;unicode;character;hex;name;replace
ASCII;U+0000;;\x00;<control>;<space>
ASCII;U+0001;;\x01;<control>;<space>
ASCII;U+0002;;\x02;<control>;<space>
ASCII;U+0003;;\x03;<control>;<space>
ASCII;U+0004;;\x04;<control>;<space>
ASCII;U+0005;;\x05;<control>;<space>
ASCII;U+0006;;\x06;<control>;<space>
ASCII;U+0007;;\x07;<control>;<space>
ASCII;U+0008;;\x08;<control>;<space>
ASCII;U+0009;;\x09;<control>;<space>
ASCII;U+000A;;\x0A;<control>;<space>
ASCII;U+000B;;\x0B;<control>;<space>
ASCII;U+000C;;\x0C;<control>;<space>
ASCII;U+000D;;\x0D;<control>;<space>
ASCII;U+000E;;\x0E;<control>;<space>
ASCII;U+000F;;\x0F;<control>;<space>
ASCII;U+0010;;\x10;<control>;<space>
ASCII;U+0011;;\x11;<control>;<space>
ASCII;U+0012;;\x12;<control>;<space>
ASCII;U+0013;;\x13;<control>;<space>
ASCII;U+0014;;\x14;<control>;<space>
ASCII;U+0015;;\x15;<control>;<space>
ASCII;U+0016;;\x16;<control>;<space>
ASCII;U+0017;;\x17;<control>;<space>
ASCII;U+0018;;\x18;<control>;<space>
ASCII;U+0019;;\x19;<control>;<space>
ASCII;U+001A;;\x1A;<control>;<space>
ASCII;U+001B;;\x1B;<control>;<space>
ASCII;U+001C;;\x1C;<control>;<space>
ASCII;U+001D;;\x1D;<control>;<space>
ASCII;U+001E;;\x1E;<control>;<space>
ASCII;U+001F;;\x1F;<control>;<space>
ASCII;U+0020;;\x20;SPACE;<none>
ASCII;U+0021;!;\x21;EXCLAMATION MARK;<space>
ASCII;U+0022;"""";\x22;QUOTATION MARK;<space>
ASCII;U+0023;#;\x23;NUMBER SIGN;<space>
ASCII;U+0024;$;\x24;DOLLAR SIGN;<space>
ASCII;U+0025;%;\x25;PERCENT SIGN;<space>
ASCII;U+0026;&;\x26;AMPERSAND;<space>and<space>
ASCII;U+0027;';\x27;APOSTROPHE;<del>
ASCII;U+0028;(;\x28;LEFT PARENTHESIS;<none>
ASCII;U+0029;);\x29;RIGHT PARENTHESIS;<none>
ASCII;U+002A;*;\x2A;ASTERISK;<space>
