word;replace;Column1
1st;first;standardization
abrasives;abrasive;singular/plural
absorbents;absorbent;singular/plural
accents;accent;singular/plural
accessories;accessory;singular/plural
accidents;accident;singular/plural
accommodations;accommodation;singular/plural
accomodations;accommodation;
accounts;account;singular/plural
aces;ace;singular/plural
achievers;achiever;singular/plural
acids;acid;singular/plural
acoustics;acoustic;singular/plural
acquisitions;acquisition;
acquisitions;acquisition;singular/plural
acres;acre;singular/plural
acrylics;acrylic;singular/plural
actions;action;singular/plural
additives;additive;singular/plural
ades;ade;singular/plural
adhesives;adhesive;singular/plural
adjusters;adjuster;singular/plural
ads;ad;singular/plural
advanced;advance;
advances;advance;singular/plural
advantaged;advantage;
advantge;advantage;
advatage;advantage;
adventures;adventure;singular/plural
advisers;adviser;singular/plural
advisors;advisor;singular/plural
advntage;advatage;
aerogels;aerogel;singular/plural
aesthetics;aesthetic;singular/plural
affairs;affair;singular/plural
affiliates;affiliate;singular/plural
africa;african;
afs;af;singular/plural
agencies;agency;singular/plural
agents;agent;singular/plural
ages;age;singular/plural
aggregates;aggregate;singular/plural
agrochemicals;agrochemical;singular/plural
aids;aid;singular/plural
aims;aim;singular/plural
airlines;airline;singular/plural
airplanes;airplane;singular/plural
airports;airport;singular/plural
airways;airway;singular/plural
alcohols;alcohol;singular/plural
ales;ale;singular/plural
alkalies;alkali;singular/plural
alkalis;alkali;singular/plural
allgauer;allgaeuer;
alliances;alliance;singular/plural
allocations;allocation;singular/plural
alloys;alloy;singular/plural
alph;alpha;
alternatives;alternative;singular/plural
altos;alto;singular/plural
aluminum;aluminium;
amalgamations;amalgamation;singular/plural
ambassadors;ambassador;singular/plural
america;american;
amines;amine;singular/plural
amusements;amusement;singular/plural
analysts;analyst;singular/plural
annuities;annuity;singular/plural
answers;answer;singular/plural
antibiotics;antibiotic;singular/plural
antibodies;antibody;singular/plural
antipodes;antipode;singular/plural
ants;ant;singular/plural
apartments;apartment;singular/plural
apparels;apparel;singular/plural
appliances;appliance;singular/plural
applications;application;singular/plural
appointments;appointment;singular/plural
apps;app;singular/plural
aquacultures;aquaculture;singular/plural
arabia;arabian;
architects;architect;singular/plural
architectures;architecture;singular/plural
arcs;arc;singular/plural
areas;area;singular/plural
arenas;arena;singular/plural
arias;aria;singular/plural
arms;arm;singular/plural
aromas;aroma;singular/plural
aromatics;aromatic;singular/plural
arrangements;arrangement;singular/plural
arrays;array;singular/plural
arrondissements;arrondissement;singular/plural
arrows;arrow;singular/plural
articles;article;singular/plural
artisans;artisan;singular/plural
artists;artist;singular/plural
arts;art;singular/plural
asphalts;asphalt;singular/plural
assemblies;assembly;singular/plural
assessments;assessment;singular/plural
assets;asset;singular/plural
associated;associate;
associates;associate;singular/plural
assurances;assurance;singular/plural
atlas;atla;singular/plural
attorneys;attorney;singular/plural
attractions;attraction;singular/plural
auctioneers;auctioneer;singular/plural
auctions;auction;singular/plural
audits;audit;singular/plural
auras;aura;singular/plural
authorities;authority;singular/plural
automobiles;automobile;singular/plural
autos;auto;singular/plural
avers;aver;singular/plural
aws;aw;singular/plural
axles;axle;singular/plural
ayes;aye;singular/plural
backs;back;singular/plural
