stopword;stop_type;origin
adopeng;currency;own
afghani;currency;L&M
ariary;currency;L&M
auksinas;currency;own
baht;currency;L&M
baisa;currency;own
balboa;currency;L&M
bipkwele;currency;own
birr;currency;L&M
bolivar;currency;L&M
boliviano;currency;L&M
cedi;currency;L&M
centas;currency;own
centesimo;currency;own
centimo;currency;own
colon;currency;L&M
córdoba;currency;L&M
crore;currency;own
dalasi;currency;L&M
denar;currency;L&M
dinar;currency;L&M
dirham;currency;L&M
dobra;currency;L&M
dong;currency;L&M
dram;currency;L&M
ekuele;currency;own
escudo;currency;L&M
euro;currency;L&M
florin;currency;L&M
forint;currency;L&M
gourde;currency;L&M
guarani;currency;L&M
gulden;currency;L&M
hryvnia;currency;L&M
jeon;currency;own
jiao;currency;own
kak;currency;own
karbovanets;currency;own
kina;currency;L&M
kip;currency;L&M
kobo;currency;own
konvertibilna marka;currency;L&M
konvertibilna pfeniga;currency;own
koruna;currency;L&M
krona;currency;L&M
krone;currency;L&M
kronur;currency;own
kroon;currency;L&M
kuna;currency;L&M
kupon;currency;own
kuponi;currency;own
kwacha;currency;L&M
kwanza;currency;L&M
kyat;currency;L&M
lari;currency;L&M
lats;currency;L&M
lek;currency;L&M
lempira;currency;L&M
leone;currency;L&M
leu;currency;L&M
lev;currency;L&M
likuta;currency;own
lilangeni;currency;L&M
lira;currency;L&M
litas;currency;L&M
loti;currency;L&M
makuta;currency;own
manat;currency;L&M
meticai;currency;own
metical;currency;L&M
milpeng;currency;own
naira;currency;L&M
nakfa;currency;L&M
new lira;currency;L&M
new sheqel;currency;L&M
ngultrum;currency;L&M
ngwee;currency;own
nouveaux makuta;currency;own
nuevo sol;currency;L&M
ouguiya;currency;L&M
paanga;currency;own
pataca;currency;L&M
peso;currency;L&M
piso;currency;own
pound;currency;L&M
pula;currency;L&M
quetzal;currency;L&M
rand;currency;L&M
real;currency;L&M
renminbi;currency;L&M
rial;currency;L&M
riel;currency;L&M
ringgit;currency;L&M
riyal;currency;L&M
rubel;currency;own
ruble;currency;L&M
rublis;currency;own
rublis;currency;own
rublu;currency;own
rufiyaa;currency;L&M
rupee;currency;L&M
rupiah;currency;L&M
rupie;currency;own
santims;currency;own
scellini;currency;own
senti;currency;own
sheqalim;currency;own
sheqalim shekalim;currency;own
sheqel;currency;own
shilin;currency;own
shilingi;currency;own
shilingi;currency;own
shilling;currency;L&M
skatikai;currency;own
skatikas;currency;own
skatiku;currency;own
som;currency;L&M
somoni;currency;L&M
stotinka;currency;own
stotinki;currency;own
syli;currency;own
taka;currency;L&M
tala;currency;L&M
talonas;currency;own
tambala;currency;own
tenge;currency;L&M
tolar;currency;own
tolarjev;currency;own
tugrik;currency;L&M
tyiyn;currency;own
vatu;currency;L&M
won;currency;L&M
yen;currency;L&M
zloty;currency;L&M
