stopword;stop_type;origin
annual;dates_numbers;L&M
annually;dates_numbers;L&M
annum;dates_numbers;L&M
apr;dates_numbers;L&M
april;dates_numbers;L&M
aug;dates_numbers;L&M
august;dates_numbers;L&M
billion;dates_numbers;L&M
daily;dates_numbers;L&M
date;dates_numbers;L&M
day;dates_numbers;L&M
dec;dates_numbers;L&M
december;dates_numbers;L&M
eight;dates_numbers;L&M
eighteen;dates_numbers;L&M
eighth;dates_numbers;L&M
eighty;dates_numbers;L&M
eleven;dates_numbers;L&M
feb;dates_numbers;L&M
february;dates_numbers;L&M
fifteen;dates_numbers;L&M
fifth;dates_numbers;L&M
fifty;dates_numbers;L&M
first;dates_numbers;L&M
five;dates_numbers;L&M
forty;dates_numbers;L&M
four;dates_numbers;L&M
fourteen;dates_numbers;L&M
fourth;dates_numbers;L&M
friday;dates_numbers;L&M
hundred;dates_numbers;L&M
i;dates_numbers;L&M
ii;dates_numbers;L&M
iii;dates_numbers;L&M
iv;dates_numbers;L&M
ix;dates_numbers;L&M
jan;dates_numbers;L&M
january;dates_numbers;L&M
jul;dates_numbers;L&M
july;dates_numbers;L&M
jun;dates_numbers;L&M
june;dates_numbers;L&M
mar;dates_numbers;L&M
march;dates_numbers;L&M
may;dates_numbers;L&M
million;dates_numbers;L&M
monday;dates_numbers;L&M
month;dates_numbers;L&M
monthly;dates_numbers;L&M
nine;dates_numbers;L&M
nineteen;dates_numbers;L&M
ninety;dates_numbers;L&M
ninth;dates_numbers;L&M
nov;dates_numbers;L&M
november;dates_numbers;L&M
oct;dates_numbers;L&M
october;dates_numbers;L&M
one;dates_numbers;L&M
qtr;dates_numbers;L&M
quarter;dates_numbers;L&M
quarterly;dates_numbers;L&M
saturday;dates_numbers;L&M
second;dates_numbers;L&M
sep;dates_numbers;L&M
sept;dates_numbers;L&M
september;dates_numbers;L&M
seven;dates_numbers;L&M
seventeen;dates_numbers;L&M
seventh;dates_numbers;L&M
seventy;dates_numbers;L&M
six;dates_numbers;L&M
sixteen;dates_numbers;L&M
sixth;dates_numbers;L&M
sixty;dates_numbers;L&M
sunday;dates_numbers;L&M
ten;dates_numbers;L&M
tenth;dates_numbers;L&M
third;dates_numbers;L&M
thirteen;dates_numbers;L&M
thirty;dates_numbers;L&M
thousand;dates_numbers;L&M
three;dates_numbers;L&M
thursday;dates_numbers;L&M
trillion;dates_numbers;L&M
tuesday;dates_numbers;L&M
twelve;dates_numbers;L&M
twenty;dates_numbers;L&M
two;dates_numbers;L&M
v;dates_numbers;L&M
vi;dates_numbers;L&M
vii;dates_numbers;L&M
viii;dates_numbers;L&M
wednesday;dates_numbers;L&M
week;dates_numbers;L&M
weekly;dates_numbers;L&M
x;dates_numbers;L&M
xi;dates_numbers;L&M
xii;dates_numbers;L&M
xiii;dates_numbers;L&M
xiv;dates_numbers;L&M
xix;dates_numbers;L&M
xv;dates_numbers;L&M
xvi;dates_numbers;L&M
xvii;dates_numbers;L&M
xviii;dates_numbers;L&M
xx;dates_numbers;L&M
year;dates_numbers;L&M
yearly;dates_numbers;L&M
