stopword;stop_type;origin
a;generic;L&M
able;generic;L&M
about;generic;L&M
above;generic;L&M
according;generic;L&M
accordingly;generic;L&M
across;generic;L&M
actually;generic;L&M
after;generic;L&M
afterwards;generic;L&M
again;generic;L&M
against;generic;L&M
ain't;generic;L&M
all;generic;L&M
allow;generic;L&M
allows;generic;L&M
almost;generic;L&M
alone;generic;L&M
along;generic;L&M
already;generic;L&M
also;generic;L&M
although;generic;L&M
always;generic;L&M
am;generic;L&M
among;generic;L&M
amongst;generic;L&M
an;generic;L&M
and;generic;L&M
another;generic;L&M
any;generic;L&M
anybody;generic;L&M
anyhow;generic;L&M
anyone;generic;L&M
anything;generic;L&M
anyway;generic;L&M
anyways;generic;L&M
anywhere;generic;L&M
apart;generic;L&M
appear;generic;L&M
appreciate;generic;L&M
appropriate;generic;L&M
are;generic;L&M
aren't;generic;L&M
around;generic;L&M
as;generic;L&M
a's;generic;L&M
aside;generic;L&M
ask;generic;L&M
asking;generic;L&M
associated;generic;L&M
at;generic;L&M
available;generic;L&M
away;generic;L&M
awfully;generic;L&M
b;generic;L&M
be;generic;L&M
became;generic;L&M
because;generic;L&M
become;generic;L&M
becomes;generic;L&M
becoming;generic;L&M
been;generic;L&M
before;generic;L&M
beforehand;generic;L&M
behind;generic;L&M
being;generic;L&M
believe;generic;L&M
below;generic;L&M
beside;generic;L&M
besides;generic;L&M
best;generic;L&M
better;generic;L&M
between;generic;L&M
beyond;generic;L&M
both;generic;L&M
brief;generic;L&M
but;generic;L&M
by;generic;L&M
c;generic;L&M
came;generic;L&M
can;generic;L&M
cannot;generic;L&M
cant;generic;L&M
can't;generic;L&M
cause;generic;L&M
causes;generic;L&M
certain;generic;L&M
certainly;generic;L&M
changes;generic;L&M
clearly;generic;L&M
c'mon;generic;L&M
co;generic;L&M
com;generic;L&M
come;generic;L&M
comes;generic;L&M
concerning;generic;L&M
consequently;generic;L&M
consider;generic;L&M
considering;generic;L&M
contain;generic;L&M
containing;generic;L&M
contains;generic;L&M
corresponding;generic;L&M
could;generic;L&M
couldn't;generic;L&M
course;generic;L&M
c's;generic;L&M
currently;generic;L&M
d;generic;L&M
definitely;generic;L&M
described;generic;L&M
despite;generic;L&M
did;generic;L&M
didn't;generic;L&M
different;generic;L&M
do;generic;L&M
does;generic;L&M
doesn't;generic;L&M
doing;generic;L&M
done;generic;L&M
don't;generic;L&M
down;generic;L&M
downwards;generic;L&M
during;generic;L&M
e;generic;L&M
each;generic;L&M
edu;generic;L&M
eg;generic;L&M
eight;generic;L&M
either;generic;L&M
else;generic;L&M
elsewhere;generic;L&M
enough;generic;L&M
entirely;generic;L&M
especially;generic;L&M
et;generic;L&M
etc;generic;L&M
even;generic;L&M
ever;generic;L&M
every;generic;L&M
everybody;generic;L&M
everyone;generic;L&M
everything;generic;L&M
everywhere;generic;L&M
ex;generic;L&M
exactly;generic;L&M
example;generic;L&M
except;generic;L&M
f;generic;L&M
far;generic;L&M
few;generic;L&M
fifth;generic;L&M
first;generic;L&M
five;generic;L&M
followed;generic;L&M
following;generic;L&M
follows;generic;L&M
for;generic;L&M
former;generic;L&M
formerly;generic;L&M
forth;generic;L&M
four;generic;L&M
from;generic;L&M
further;generic;L&M
furthermore;generic;L&M
g;generic;L&M
get;generic;L&M
gets;generic;L&M
getting;generic;L&M
given;generic;L&M
gives;generic;L&M
go;generic;L&M
goes;generic;L&M
going;generic;L&M
gone;generic;L&M
got;generic;L&M
gotten;generic;L&M
greetings;generic;L&M
h;generic;L&M
had;generic;L&M
hadn't;generic;L&M
happens;generic;L&M
hardly;generic;L&M
has;generic;L&M
hasn't;generic;L&M
have;generic;L&M
haven't;generic;L&M
having;generic;L&M
he;generic;L&M
hello;generic;L&M
help;generic;L&M
hence;generic;L&M
her;generic;L&M
here;generic;L&M
hereafter;generic;L&M
hereby;generic;L&M
herein;generic;L&M
here's;generic;L&M
hereupon;generic;L&M
hers;generic;L&M
herself;generic;L&M
he's;generic;L&M
hi;generic;L&M
him;generic;L&M
himself;generic;L&M
his;generic;L&M
hither;generic;L&M
hopefully;generic;L&M
how;generic;L&M
howbeit;generic;L&M
however;generic;L&M
i;generic;L&M
i'd;generic;L&M
ie;generic;L&M
if;generic;L&M
ignored;generic;L&M
i'll;generic;L&M
i'm;generic;L&M
immediate;generic;L&M
in;generic;L&M
inasmuch;generic;L&M
inc;generic;L&M
indeed;generic;L&M
indicate;generic;L&M
indicated;generic;L&M
indicates;generic;L&M
inner;generic;L&M
insofar;generic;L&M
instead;generic;L&M
into;generic;L&M
inward;generic;L&M
is;generic;L&M
isn't;generic;L&M
it;generic;L&M
it'd;generic;L&M
it'll;generic;L&M
its;generic;L&M
it's;generic;L&M
itself;generic;L&M
i've;generic;L&M
j;generic;L&M
just;generic;L&M
k;generic;L&M
keep;generic;L&M
keeps;generic;L&M
kept;generic;L&M
know;generic;L&M
known;generic;L&M
knows;generic;L&M
l;generic;L&M
last;generic;L&M
lately;generic;L&M
later;generic;L&M
latter;generic;L&M
latterly;generic;L&M
least;generic;L&M
less;generic;L&M
lest;generic;L&M
let;generic;L&M
let's;generic;L&M
like;generic;L&M
liked;generic;L&M
likely;generic;L&M
little;generic;L&M
look;generic;L&M
looking;generic;L&M
looks;generic;L&M
ltd;generic;L&M
m;generic;L&M
mainly;generic;L&M
many;generic;L&M
may;generic;L&M
maybe;generic;L&M
me;generic;L&M
mean;generic;L&M
meanwhile;generic;L&M
merely;generic;L&M
might;generic;L&M
more;generic;L&M
moreover;generic;L&M
most;generic;L&M
mostly;generic;L&M
much;generic;L&M
must;generic;L&M
my;generic;L&M
myself;generic;L&M
n;generic;L&M
name;generic;L&M
namely;generic;L&M
nd;generic;L&M
near;generic;L&M
nearly;generic;L&M
necessary;generic;L&M
need;generic;L&M
needs;generic;L&M
neither;generic;L&M
never;generic;L&M
nevertheless;generic;L&M
new;generic;L&M
next;generic;L&M
nine;generic;L&M
no;generic;L&M
nobody;generic;L&M
non;generic;L&M
none;generic;L&M
noone;generic;L&M
nor;generic;L&M
normally;generic;L&M
not;generic;L&M
nothing;generic;L&M
novel;generic;L&M
now;generic;L&M
nowhere;generic;L&M
o;generic;L&M
obviously;generic;L&M
of;generic;L&M
off;generic;L&M
often;generic;L&M
oh;generic;L&M
ok;generic;L&M
okay;generic;L&M
old;generic;L&M
on;generic;L&M
