stopword;stop_type;origin
africa;geographic;L&M
african;geographic;L&M
alabama;geographic;L&M
alaska;geographic;L&M
america;geographic;L&M
american;geographic;L&M
angeles;geographic;L&M
argentina;geographic;L&M
arizona;geographic;L&M
arkansas;geographic;L&M
asia;geographic;L&M
atlanta;geographic;L&M
atlantic;geographic;L&M
australia;geographic;L&M
austria;geographic;L&M
bangladesh;geographic;L&M
beijing;geographic;L&M
belgium;geographic;L&M
bermuda;geographic;L&M
blvd;geographic;L&M
boston;geographic;L&M
boulevard;geographic;L&M
brazil;geographic;L&M
brazilian;geographic;L&M
british;geographic;L&M
california;geographic;L&M
cambridge;geographic;L&M
canada;geographic;L&M
canadian;geographic;L&M
carolina;geographic;L&M
chicago;geographic;L&M
chile;geographic;L&M
chilean;geographic;L&M
china;geographic;L&M
chinese;geographic;L&M
cincinnati;geographic;L&M
city;geographic;L&M
colorado;geographic;L&M
columbia;geographic;L&M
columbus;geographic;L&M
commonwealth;geographic;L&M
connecticut;geographic;L&M
costa;geographic;L&M
country;geographic;L&M
county;geographic;L&M
creek;geographic;L&M
czeck;geographic;L&M
dakota;geographic;L&M
dallas;geographic;L&M
delaware;geographic;L&M
delhi;geographic;L&M
denmark;geographic;L&M
denver;geographic;L&M
detroit;geographic;L&M
diego;geographic;L&M
east;geographic;L&M
europe;geographic;L&M
european;geographic;L&M
finland;geographic;L&M
florida;geographic;L&M
fort;geographic;L&M
france;geographic;L&M
fransico;geographic;L&M
fremont;geographic;L&M
georgia;geographic;L&M
germany;geographic;L&M
gulf;geographic;L&M
hampshire;geographic;L&M
hawaii;geographic;L&M
hollywood;geographic;L&M
houston;geographic;L&M
hungary;geographic;L&M
idaho;geographic;L&M
illinois;geographic;L&M
india;geographic;L&M
indian;geographic;L&M
indiana;geographic;L&M
indianapolis;geographic;L&M
indonesia;geographic;L&M
iowa;geographic;L&M
island;geographic;L&M
istanbul;geographic;L&M
italian;geographic;L&M
italy;geographic;L&M
jakarta;geographic;L&M
japan;geographic;L&M
japanese;geographic;L&M
jersey;geographic;L&M
kansas;geographic;L&M
karachi;geographic;L&M
kentucky;geographic;L&M
korea;geographic;L&M
lake;geographic;L&M
las;geographic;L&M
latin;geographic;L&M
london;geographic;L&M
los;geographic;L&M
louis;geographic;L&M
louisiana;geographic;L&M
luxembourg;geographic;L&M
maine;geographic;L&M
malaysia;geographic;L&M
manhattan;geographic;L&M
maryland;geographic;L&M
massachusetts;geographic;L&M
mediterranean;geographic;L&M
memphis;geographic;L&M
mexican;geographic;L&M
mexico;geographic;L&M
miami;geographic;L&M
michigan;geographic;L&M
milwaukee;geographic;L&M
minneapolis;geographic;L&M
minnesota;geographic;L&M
mississippi;geographic;L&M
missouri;geographic;L&M
montana;geographic;L&M
moscow;geographic;L&M
mountain;geographic;L&M
mumbai;geographic;L&M
nebraska;geographic;L&M
netherlands;geographic;L&M
nevada;geographic;L&M
new;geographic;L&M
nigeria;geographic;L&M
north;geographic;L&M
northeast;geographic;L&M
northwest;geographic;L&M
norway;geographic;L&M
nova;geographic;L&M
ocean;geographic;L&M
ohio;geographic;L&M
oklahoma;geographic;L&M
ontario;geographic;L&M
oregon;geographic;L&M
pacific;geographic;L&M
pakistan;geographic;L&M
parkway;geographic;L&M
paulo;geographic;L&M
pennsylvania;geographic;L&M
philadelphia;geographic;L&M
philippines;geographic;L&M
phoenix;geographic;L&M
pittsburgh;geographic;L&M
poland;geographic;L&M
portugal;geographic;L&M
puerto;geographic;L&M
republic;geographic;L&M
rhode;geographic;L&M
rica;geographic;L&M
river;geographic;L&M
russia;geographic;L&M
san;geographic;L&M
sao;geographic;L&M
scotia;geographic;L&M
scotland;geographic;L&M
sea;geographic;L&M
seattle;geographic;L&M
seoul;geographic;L&M
shanghai;geographic;L&M
singapore;geographic;L&M
south;geographic;L&M
southeast;geographic;L&M
southwest;geographic;L&M
spain;geographic;L&M
st;geographic;L&M
state;geographic;L&M
street;geographic;L&M
suisse;geographic;L&M
sunnyvale;geographic;L&M
sweden;geographic;L&M
swiss;geographic;L&M
switzerland;geographic;L&M
taiwan;geographic;L&M
tennessee;geographic;L&M
texas;geographic;L&M
thailand;geographic;L&M
tokyo;geographic;L&M
toronto;geographic;L&M
tunisia;geographic;own
turkey;geographic;L&M
turks and caicos islands;geographic;own
united;geographic;L&M
usa;geographic;L&M
utah;geographic;L&M
uzbekistan;geographic;own
vegas;geographic;L&M
venezuela;geographic;L&M
vermont;geographic;L&M
vietnam;geographic;L&M
virginia;geographic;L&M
washington;geographic;L&M
west;geographic;L&M
wisconsin;geographic;L&M
wyoming;geographic;L&M
yemen;geographic;own
york;geographic;L&M
yuan;geographic;own
yugoslavia;geographic;own
zaire;geographic;own
zambia;geographic;own
zealand;geographic;L&M
zimbabwe;geographic;own
central america;geographic;own
