stopword;stop_type;origin
saytam;names;own
sarbanes;names;own
oxley;names;own
ponzi;names;own
linkedin;names;own
mandella;names;own
paypal;names;own
piotroski;names;own
satyam;names;own
xinjing;names;own
xcede;names;own
zshell;names;own
ylaw;names;own
magoon;names;own
winter kloman moter and repp sc;names;own
waddell smith magoon and freeman;names;own
white zuckerman warsavsky luna and wolf;names;own
vicky nagu ;names;own
layton rahmatulla;names;own
icetratt;names;own
rigas;names;own
hertfordshires;names;own
identlogic;names;own
dreamz;names;own
humbserside;names;own
