stopword;stop_type;origin
abu dhabi securities exchange;stock exchanges;own
abu dhabi stock exchange;stock exchanges;own
aex-agricultural futures exchange;stock exchanges;own
aim stock exchange;stock exchanges;own
alberta stock exchange;stock exchanges;own
algiers stock exchange;stock exchanges;own
amman stock exchange;stock exchanges;own
amsterdam commodity exchange;stock exchanges;own
argentinian stock exchange;stock exchanges;own
arizona stock exchange;stock exchanges;own
asia pacific exchange limited;stock exchanges;own
athens exchange alternative market;stock exchanges;own
athens exchange euas market;stock exchanges;own
athens stock exchange;stock exchanges;own
australia stock exchange;stock exchanges;own
australian securities exchange;stock exchanges;own
australian wool exchange;stock exchanges;own
austrian energy exchange;stock exchanges;own
bahamas international securities exchange;stock exchanges;own
bahrain financial exchange;stock exchanges;own
bahrain stock exchange;stock exchanges;own
baku interbank currency exchange;stock exchanges;own
baku stock exchange;stock exchanges;own
baltic exchange;stock exchanges;own
banja luka stock exchange;stock exchanges;own
barbados stock exchange;stock exchanges;own
bats exchange;stock exchanges;own
bats exchange options market;stock exchanges;own
beirut stock exchange;stock exchanges;own
belarus currency and stock exchange;stock exchanges;own
belgian futures and options exchange;stock exchanges;own
belgian power exchange;stock exchanges;own
belgrade stock exchange;stock exchanges;own
bendigo stock exchange limited;stock exchanges;own
bermuda stock exchange;stock exchanges;own
berne stock exchange;stock exchanges;own
beurs van antwerpen (antwerp stock exchange);stock exchanges;own
bgc brokers lp;stock exchanges;own
bme spanish exchanges;stock exchanges;own
bolsa mexicana de valores (mexican stock exchange);stock exchanges;own
bombay (mumbai) stock exchange;stock exchanges;own
bombay stock exchange;stock exchanges;own
boston options exchange;stock exchanges;own
botswana stock exchange;stock exchanges;own
bourse de beyrouth - beirut stock exchange;stock exchanges;own
bratislava stock exchange;stock exchanges;own
brazilian energy exchange;stock exchanges;own
brazilian stock exchange;stock exchanges;own
brokertec futures exchange;stock exchanges;own
bsp regional energy exchange - south pool;stock exchanges;own
bucharest stock exchange;stock exchanges;own
budapest commodity exchange;stock exchanges;own
budapest stock exchange;stock exchanges;own
bulgarian stock exchange;stock exchanges;own
calcutta stock exchange;stock exchanges;own
canadian national stock exchange;stock exchanges;own
cannex financial exchange lts;stock exchanges;own
cantor financial futures exchange;stock exchanges;own
cape verde stock exchange;stock exchanges;own
casablanca stock exchange;stock exchanges;own
cayman islands stock exchange;stock exchanges;own
cboe futures exchange;stock exchanges;own
cboe stock exchange;stock exchanges;own
central japan commodities exchange;stock exchanges;own
channel islands stock exchange;stock exchanges;own
chicago board options exchange;stock exchanges;own
chicago climate futures exchange;stock exchanges;own
chicago mercantile exchange;stock exchanges;own
chicago mercantile exchange (floor);stock exchanges;own
chicago rice and cotton exchange;stock exchanges;own
chicago stock exchange, inc;stock exchanges;own
chilean stock exchange;stock exchanges;own
china financial futures exchange;stock exchanges;own
china foreign exchange trade system;stock exchanges;own
chinese gold & silver exchange society;stock exchanges;own
chittagong stock exchange;stock exchanges;own
chubu commodity exchange;stock exchanges;own
colombia stock exchange;stock exchanges;own
colombo stock exchange;stock exchanges;own
copenhagen stock exchange;stock exchanges;own
croatian stock exchange;stock exchanges;own
cyprus stock exchange;stock exchanges;own
cyprus stock exchange - otc;stock exchanges;own
dalian commodity exchange;stock exchanges;own
damascus securities exchange;stock exchanges;own
dar es salaam stock exchange;stock exchanges;own
delhi stock exchange;stock exchanges;own
deutsche börse;stock exchanges;own
dhaka stock exchange;stock exchanges;own
douala stock exchange;stock exchanges;own
dtb deutsche terminboerse gmbh;stock exchanges;own
dubai financial market;stock exchanges;own
dubai gold & commodities exchange dmcc;stock exchanges;own
dubai mercantile exchange;stock exchanges;own
east european stock exchange;stock exchanges;own
eastern caribbean securities exchange;stock exchanges;own
edga exchange;stock exchanges;own
edgx exchange;stock exchanges;own
egyptian exchange;stock exchanges;own
el salvador stock exchange;stock exchanges;own
eschborn eurex exchange;stock exchanges;own
ets eurasian trading system commodity exchange;stock exchanges;own
eurex repo gmbh;stock exchanges;own
euronext;stock exchanges;own
euronext amsterdam stock exchange;stock exchanges;own
euronext paris stock exchange;stock exchanges;own
european climate exchange;stock exchanges;own
european energy exchange ag;stock exchanges;own
financial times-stock exchange share indexes;stock exchanges;own
frankfurt stock exchange;stock exchanges;own
fukuoka futures exchange;stock exchanges;own
fukuoka stock exchange;stock exchanges;own
georgia stock exchange;stock exchanges;own
german stock exchange;stock exchanges;own
ghana stock exchange;stock exchanges;own
hanoi stock exchange;stock exchanges;own
hellenic exchange otc market;stock exchanges;own
helsinki stock exchange;stock exchanges;own
hiroshima stock exchange;stock exchanges;own
ho chi minh stock exchange;stock exchanges;own
hochiminh stock exchange;stock exchanges;own
hondurian stock exchange;stock exchanges;own
hong kong mercantile exchange;stock exchanges;own
hong kong stock exchange;stock exchanges;own
hungarian power exchange;stock exchanges;own
ice markets foreign exchange;stock exchanges;own
india national stock exchange;stock exchanges;own
indian commodity exchange ltd.;stock exchanges;own
indonesia stock exchange;stock exchanges;own
inter-connected stock exchange of india ltd;stock exchanges;own
intercontinental exchange;stock exchanges;own
