acronym;term;origin
sc;UNKNOWN;termlist
dtrs;UNKNOWN;termlist
inspru;UNKNOWN;termlist
acrs;accelarated cost recovery system;termlist
a/c;account;termlist
ac;account;termlist
ape;account period ending;termlist
a/r;account receivable;termlist
api;accountants for the public interest;termlist
aisg;accountants international study group;termlist
ais;accounting information system;termlist
am;accounting management;termlist
apb;accounting principles board;termlist
arr;accounting rate of return;termlist
arc;accounting regulatory committee;termlist
arb;accounting research bulletin;termlist
asrs;accounting series releases;termlist
asb;accounting standards board;termlist
asc;accounting standards committee;termlist
asrb;accounting standards review board;termlist
assc;accounting standards steering committee;termlist
a.p.;accounts payable;termlist
ap;accounts payable;termlist
acr;accounts receivable;termlist
ar;accounts receivable;termlist
aca;accreditation council for accountancy;termlist
acat;accreditation council for accountancy and taxation;termlist
aba;accredited business accountant;termlist
ata;accredited tax advisor;termlist
atp;accredited tax preparer;termlist
abac;accrual-based accounting;termlist
accsec;accsec is accounting standards executive committee;termlist
aaa;accumulated adjustment account;termlist
afudc;accumulated funds used during construction;termlist
aoci;Accumulated other comprehensive income;termlist
frf;french francs;termlist
abm;activity based management;termlist
abc;activity-based costing;termlist
acv;actual cash value;termlist
aml;additional minimum pension liability;termlist
apic;additional paid-in capital;termlist
a&m;additions and maintenance;termlist
arm;adjustable rate mortgage;termlist
arp;adjustable rate preferred;termlist
acb;adjusted cost base;termlist
aop;adjusted operating profit;termlist
aroe;adjusted return on equity;termlist
a&g;administrative & general;termlist
a&p;administrative and personnel;termlist
adi;after date of invoice;termlist
adf;after deducting freight;termlist
adea;age discrimination in employment act;termlist
afudc;allowance for funds used during construction;termlist
aifm;Alternative Investment Fund Manager;termlist
amt;alternative minimum tax;termlist
aaacpa;american association of attorney-certified public accountants;termlist
aaa-cpa;american association of attorney-certified public accountants;termlist
aahcpa;american association of hispanic cpas;termlist
adr;american depository receipt;termlist
aicpa;american institute of certified public accountants;termlist
aswa;american society of women accountants;termlist
ascii;american standard code for information exchange;termlist
awscpa;American Woman's Society of Certified Public Accountants;termlist
ada;americans with disabilities act;termlist
aap;annual audit plan;termlist
agi;annual gross income;termlist
apr;annual percentage rate;termlist
ac;application control;termlist
a&e;appropriation & expense;termlist
ai;artificial intelligence;termlist
am;asset management;termlist
acma;associate chartered management accountant;termlist
aafi;associated accounting firms international;termlist
aat;association of accounting technicians;termlist
acca;association of chartered certified accountants;termlist
caca;association of chartered certified accountants;termlist
aga;association of government accountants;termlist
aia;association of international accountants;termlist
aic;association of investment companies;termlist
asean;association of southeast asian nations;termlist
aacsb;association to advance collegiate schools of business;termlist
aurc;audit regulatory committee;termlist
aa;auditing authority;termlist
asb;auditing standards board;termlist
au;austria;termlist
afe;authorization for expenditure;termlist
ach;automated clearing house;termlist
ams;automated manifest system;termlist
atm;automated/automatic teller machine;termlist
afs;available for sale;termlist
adscr;average debt service coverage ratio;termlist
anr;average number of runs;termlist
arpu;average revenue per user;termlist
asi;average sampling interval;termlist
br;bad register;termlist
bpm;balance of payments manual;termlist
bsi;balance sheet item;termlist
bba;balanced budget act;termlist
bsc;balanced scorecard;termlist
baf;bank account file;termlist
bcl;bank comfort letter;termlist
bach;bank for the accounts of companies harmonised;termlist
ba;banker's acceptance;termlist
bars;base accounts receivable system;termlist
bmr;base mortgage rate;termlist
bas;basic accounting system;termlist
bdi;basic defense interval;termlist
bps;basis point;termlist
boy;beginning of year;termlist
be;bill of exchange;termlist
boe;bill of exchange;termlist
bom;bill of materials;termlist
bcd;binary coded decimal;termlist
b/w;black & white;termlist
bw;black & white;termlist
boa;board of auditors;termlist
ban;bond anticipation note;termlist
bcg;boston consulting group;termlist
bvi;british virgin islands;termlist
bcf;broadcast cash flow;termlist
b/d;brought down;termlist
bd;brought down;termlist
bir;bureau of internal revenue;termlist
bpo;business process outsourcing;termlist
bpr;business process re-engineering;termlist
bsp;business service provider;termlist
bval;business valuator;termlist
bay;buy another yearly;termlist
cica;canadian institute of chartered accountants;termlist
cira;Canadian Internet Registration Authority;termlist
cp;capacity planning;termlist
capm;capital asset pricing model;termlist
cebs;capital equipment budget system;termlist
capex;capital expenditure;termlist
crar;capital to risk asset ratio;termlist
cad;cash against documents;termlist
c&c;cash and carry;termlist
cibt;cash income before taxes;termlist
cod;cash on delivery;termlist
crr;cash reserve ratio;termlist
csv;cash surrender value;termlist
card;certificate for amortizing revolving debts;termlist
cats;certificate of accrual on treasury securities;termlist
car;certificate of automobile receivables;termlist
cd;certificate of deposit;termlist
cdpa;certified data processing auditor;termlist
cebs;certified employee benefit specialist;termlist
cffa;certified financial forensic analyst;termlist
cfp;certified financial planner;termlist
cga;certified general accountant;termlist
cfm;certified in financial management;termlist
cisa;certified information systems auditor;termlist
cia;certified internal auditor;termlist
cma;certified management accountant;termlist
cpa;certified public accountant;termlist
ctp;certified treasury professional;termlist
crat;charitable remainder annuity trust;termlist
crut;charitable remainder unitrust;termlist
coa;chart of accounts;termlist
cfa;chartered financial analyst;termlist
chfc;chartered financial consultant;termlist
cima;chartered institute of management accountants;termlist
ck;check;termlist
ca;chief accountant;termlist
ceo;chief executive officer;termlist
cfo;Chief Financial Officer;termlist
coo;chief operating officer;termlist
cfi;classification of financial instruments;termlist
coicop;classification of individual consumption by purpose for households;termlist
cofog;classification of the functions of government;termlist
cv;coefficient of variation;termlist
cdo;collateralized debt obligation;termlist
cmo;collateralized mortgage obligation;termlist
cmos;collateralized mortgage obligations;termlist
cafo;command accounting and finance office;termlist
cusip;committee for uniform securities identification procedures;termlist
cebs;committee of european banking supervisors;termlist
coso;committee of sponsoring organizations of the treadway commission;termlist
cobol;common business oriented language;termlist
nuts;common classification of territorial units for statistics;termlist
csf;community support framework;termlist
cagr;compound annual growth rate;termlist
cafr;comprehensive annual financial report;termlist
caat;computer-assisted audit technique;termlist
caats;computer-assisted audit techniques;termlist
cis;computerised information system;termlist
cpr;constant payment rate;termlist
cpi;consumer price index;termlist
cpi-u;consumer price index for all urban customers;termlist
cpe;continuing professional education;termlist
cfd;contract for difference;termlist
c/s;contribution sales;termlist
cac;contributory asset charge;termlist
cr;control risk;termlist
cfc;controlled foreign corporation;termlist
csr;corporate social responsibility;termlist
c&f;cost & freight;termlist
c&i;cost & insurance;termlist
casb;cost accounting standards board;termlist
cnf;cost and freight;termlist
cmi;cost management index;termlist
coc;cost of control;termlist
coe;cost of equity;termlist
cogas;cost of goods available for sale;termlist
cogm;cost of goods manufactured;termlist
cogs;cost of goods sold;termlist
copq;cost of poor quality;termlist
pqc;cost of poor quality;termlist
cos;cost of sales;termlist
cos;cost of services;termlist
cpt;cost per thousand;termlist
cpff;cost plus fixed fee;termlist
c.i.f.;cost, insurance and freight;termlist
cif;cost, insurance and freight;termlist
cea;cost-effectiveness analysis;termlist
cola;cost-of-living adjustment;termlist
cvp;cost-volume-profit;termlist
cvpa;cost-volume-profit analysis;termlist
caps;court audit policies and standards;termlist
cr;credit;termlist
ctds;cumulative translation differences;termlist
cca;current cost accounting;termlist
cl;current liabilities;termlist
cpltd;current portion of long-term debt;termlist
cpp;current purchasing power;termlist
clv;customer life-time value;termlist
dbms;Data Base Management System;termlist
dtd;dated, day-to-day;termlist
