term_uk;term_us;source
accessorise;accessorize;website
accessorised;accessorized;website
accessorises;accessorizes;website
accessorising;accessorizing;website
acclimatisation;acclimatization;website
acclimatise;acclimatize;website
acclimatised;acclimatized;website
acclimatises;acclimatizes;website
acclimatising;acclimatizing;website
accoutrements;accouterments;website
aeon;eon;website
aeons;eons;website
aerogramme;aerogram;website
aerogrammes;aerograms;website
aeroplane;airplane;website
aeroplanes;airplanes;website
aesthete;esthete;website
aesthetes;esthetes;website
aesthetic;esthetic;website
aesthetically;esthetically;website
aesthetics;esthetics;website
aetiology;etiology;website
ageing;aging;website
aggrandisement;aggrandizement;website
agonise;agonize;website
agonised;agonized;website
agonises;agonizes;website
agonising;agonizing;website
agonisingly;agonizingly;website
almanack;almanac;website
almanacks;almanacs;website
aluminium;aluminum;website
amortisable;amortizable;website
amortisation;amortization;website
amortisations;amortizations;website
amortise;amortize;website
amortised;amortized;website
amortises;amortizes;website
amortising;amortizing;website
amphitheatre;amphitheater;website
amphitheatres;amphitheaters;website
anaemia;anemia;website
anaemic;anemic;website
anaesthesia;anesthesia;website
anaesthetic;anesthetic;website
anaesthetics;anesthetics;website
anaesthetise;anesthetize;website
anaesthetised;anesthetized;website
anaesthetises;anesthetizes;website
anaesthetising;anesthetizing;website
anaesthetist;anesthetist;website
anaesthetists;anesthetists;website
anaesthetize;anesthetize;website
anaesthetized;anesthetized;website
anaesthetizes;anesthetizes;website
anaesthetizing;anesthetizing;website
analogue;analog;website
analogues;analogs;website
analyse;analyze;website
analysed;analyzed;website
analyses;analyzes;website
analysing;analyzing;website
anglicise;anglicize;website
anglicised;anglicized;website
anglicises;anglicizes;website
anglicising;anglicizing;website
annualised;annualized;website
annuitisation;annuitization;own
antagonise;antagonize;website
antagonised;antagonized;website
antagonises;antagonizes;website
antagonising;antagonizing;website
apologise;apologize;website
apologised;apologized;website
apologises;apologizes;website
apologising;apologizing;website
appal;appall;website
appals;appalls;website
appetiser;appetizer;website
appetisers;appetizers;website
appetising;appetizing;website
appetisingly;appetizingly;website
arbour;arbor;website
arbours;arbors;website
archaeological;archeological;website
archaeologically;archeologically;website
archaeologist;archeologist;website
archaeologists;archeologists;website
archaeology;archeology;website
ardour;ardor;website
armour;armor;website
armoured;armored;website
armourer;armorer;website
armourers;armorers;website
armouries;armories;website
armoury;armory;website
artefact;artifact;website
artefacts;artifacts;website
authorise;authorize;website
authorised;authorized;website
authorises;authorizes;website
authorising;authorizing;website
axe;ax;website
backpedalled;backpedaled;website
backpedalling;backpedaling;website
bannister;banister;website
bannisters;banisters;website
baptise;baptize;website
baptised;baptized;website
baptises;baptizes;website
baptising;baptizing;website
bastardise;bastardize;website
bastardised;bastardized;website
bastardises;bastardizes;website
bastardising;bastardizing;website
battleaxe;battleax;website
baulk;balk;website
baulked;balked;website
baulking;balking;website
baulks;balks;website
bedevilled;bedeviled;website
bedevilling;bedeviling;website
behaviour;behavior;website
behavioural;behavioral;website
behaviourism;behaviorism;website
behaviourist;behaviorist;website
behaviourists;behaviorists;website
behaviours;behaviors;website
behove;behoove;website
behoved;behooved;website
behoves;behooves;website
bejewelled;bejeweled;website
belabour;belabor;website
belaboured;belabored;website
belabouring;belaboring;website
belabours;belabors;website
bevelled;beveled;website
bevvies;bevies;website
bevvy;bevy;website
biassed;biased;website
biassing;biasing;website
bingeing;binging;website
bougainvillaea;bougainvillea;website
bougainvillaeas;bougainvilleas;website
bowdlerise;bowdlerize;website
bowdlerised;bowdlerized;website
bowdlerises;bowdlerizes;website
bowdlerising;bowdlerizing;website
breathalyse;breathalyze;website
breathalysed;breathalyzed;website
breathalyser;breathalyzer;website
breathalysers;breathalyzers;website
breathalyses;breathalyzes;website
breathalysing;breathalyzing;website
brutalise;brutalize;website
brutalised;brutalized;website
brutalises;brutalizes;website
brutalising;brutalizing;website
buses;busses;website
busing;bussing;website
caesarean;cesarean;website
caesareans;cesareans;website
calibre;caliber;website
calibres;calibers;website
calliper;caliper;website
callipers;calipers;website
callisthenics;calisthenics;website
canalise;canalize;website
canalised;canalized;website
canalises;canalizes;website
canalising;canalizing;website
cancellation;cancelation;website
cancellations;cancelations;website
cancelled;canceled;website
cancelling;canceling;website
candour;candor;website
cannibalise;cannibalize;website
cannibalised;cannibalized;website
cannibalises;cannibalizes;website
cannibalising;cannibalizing;website
canonise;canonize;website
canonised;canonized;website
canonises;canonizes;website
canonising;canonizing;website
capitalise;capitalize;website
capitalised;capitalized;website
capitalises;capitalizes;website
capitalising;capitalizing;website
caramelise;caramelize;website
caramelised;caramelized;website
caramelises;caramelizes;website
caramelising;caramelizing;website
carbonise;carbonize;website
carbonised;carbonized;website
carbonises;carbonizes;website
carbonising;carbonizing;website
carolled;caroled;website
carolling;caroling;website
catalogue;catalog;website
catalogued;cataloged;website
catalogues;catalogs;website
cataloguing;cataloging;website
catalyse;catalyze;website
catalysed;catalyzed;website
catalyses;catalyzes;website
catalysing;catalyzing;website
categorise;categorize;website
categorised;categorized;website
categorises;categorizes;website
categorising;categorizing;website
cauterise;cauterize;website
cauterised;cauterized;website
cauterises;cauterizes;website
cauterising;cauterizing;website
cavilled;caviled;website
cavilling;caviling;website
centigramme;centigram;website
centigrammes;centigrams;website
centilitre;centiliter;website
centilitres;centiliters;website
centimetre;centimeter;website
centimetres;centimeters;website
centralise;centralize;website
centralised;centralized;website
centralises;centralizes;website
centralising;centralizing;website
centre;center;website
centred;centered;website
centrefold;centerfold;website
centrefolds;centerfolds;website
centrepiece;centerpiece;website
centrepieces;centerpieces;website
centres;centers;website
channelled;channeled;website
channelling;channeling;website
characterise;characterize;website
characterised;characterized;website
characterises;characterizes;website
characterising;characterizing;website
checque;check;own
cheque;check;website
chequebook;checkbook;website
chequebooks;checkbooks;website
chequered;checkered;website
cheques;checks;website
chilli;chili;website
chimaera;chimera;website
chimaeras;chimeras;website
chiselled;chiseled;website
chiselling;chiseling;website
circularise;circularize;website
circularised;circularized;website
circularises;circularizes;website
circularising;circularizing;website
civilise;civilize;website
civilised;civilized;website
civilises;civilizes;website
civilising;civilizing;website
clamour;clamor;website
clamoured;clamored;website
clamouring;clamoring;website
clamours;clamors;website
clangour;clangor;website
clarinettist;clarinetist;website
clarinettists;clarinetists;website
collateralised;collateralized;own
collectivise;collectivize;website
collectivised;collectivized;website
collectivises;collectivizes;website
collectivising;collectivizing;website
colonisation;colonization;website
colonise;colonize;website
colonised;colonized;website
coloniser;colonizer;website
colonisers;colonizers;website
colonises;colonizes;website
colonising;colonizing;website
colour;color;website
colourant;colorant;website
colourants;colorants;website
coloured;colored;website
coloureds;coloreds;website
colourful;colorful;website
colourfully;colorfully;website
colouring;coloring;website
colourize;colorize;website
colourized;colorized;website
colourizes;colorizes;website
colourizing;colorizing;website
colourless;colorless;website
colours;colors;website
commercialise;commercialize;website
commercialised;commercialized;website
commercialises;commercializes;website
commercialising;commercializing;website
compartmentalise;compartmentalize;website
compartmentalised;compartmentalized;website
compartmentalises;compartmentalizes;website
compartmentalising;compartmentalizing;website
computerise;computerize;website
computerised;computerized;website
computerises;computerizes;website
computerising;computerizing;website
conceptualise;conceptualize;website
conceptualised;conceptualized;website
conceptualises;conceptualizes;website
conceptualising;conceptualizing;website
connexion;connection;website
connexions;connections;website
contextualise;contextualize;website
contextualised;contextualized;website
contextualises;contextualizes;website
contextualising;contextualizing;website
cosier;cozier;website
cosies;cozies;website
cosiest;coziest;website
cosily;cozily;website
cosiness;coziness;website
cosy;cozy;website
councillor;councilor;website
councillors;councilors;website
counselled;counseled;website
counselling;counseling;website
counsellor;counselor;website
counsellors;counselors;website
crenellated;crenelated;website
criminalise;criminalize;website
criminalised;criminalized;website
criminalises;criminalizes;website
criminalising;criminalizing;website
criticise;criticize;website
criticised;criticized;website
criticises;criticizes;website
criticising;criticizing;website
crueller;crueler;website
cruellest;cruelest;website
crystallisation;crystallization;website
crystallise;crystallize;website
crystallised;crystallized;website
crystallises;crystallizes;website
crystallising;crystallizing;website
cudgelled;cudgeled;website
cudgelling;cudgeling;website
customise;customize;website
customised;customized;website
customises;customizes;website
customising;customizing;website
cypher;cipher;website
cyphers;ciphers;website
decentralisation;decentralization;website
decentralise;decentralize;website
decentralised;decentralized;website
decentralises;decentralizes;website
decentralising;decentralizing;website
decriminalisation;decriminalization;website
decriminalise;decriminalize;website
decriminalised;decriminalized;website
