occurance;type;le_name;le_stand;source
End;abbr;(publ);(PUBL);OWN
End;abbr;aa;AA;ECB
End;full;association agricole;AA;ECB
End;abbr;aam;AAM;ECB
End;full;association d'assurances mutuelles;AAM;ECB
End;abbr;ab;AB;ECB
Start;abbr;ab;AB;ECB
End;full;akcinė bendrovė;AB;ECB
End;full;bankaktiebolag;AB;ECB
End;full;försäkringsaktiebolag;AB;ECB
End;full;övriga aktiebolag;AB;ECB
End;abbr;ab (publ);AB (PUBL);OWN
End;full;public bankaktiebolag;AB (PUBL);OWN
End;abbr;ab sca publ;AB SCA (PUBL);OWN
End;abbr;ace;ACE;ECB
End;full;agrupamento complementar de empresas;ACE;ECB
End;abbr;acmiss;ACMISS;ECB
End;full;association chargée de mission;ACMISS;ECB
End;abbr;acp;ACP;ECB
End;full;association des copropriétaires;ACP;ECB
End;abbr;ad;AD;ECB
End;abbr;adsic;ADSIC;ECB
End;abbr;ag;AG;ECB
End;full;aktiengesellschaft;AG;ECB
End;abbr;ag company kg;AG & CO AG;OWN
End;abbr;ag & co kg;AG & CO KG;ECB
End;full;aktiengesellschaft & compagnie kommanditgesellschaft;AG & CO KG;ECB
End;abbr; ag co kommanditgesellschaft auf aktien;AG & CO KG AA;OWN
End;abbr;ag company kgaa;AG & CO KG AA;OWN
End;abbr;ag & co kgaa;AG & CO KG AA;ECB
End;full;aktiengesellschaft & compagnie kommanditgesellschaft an aktien;AG & CO KG AA;ECB
End;abbr;ag & co ohg;AG & CO OHG;ECB
End;full;aktiengesellschaft & compagnie offene handelsgesellschaft;AG & CO OHG;ECB
End;abbr;agmsz;AGMSZ;ECB
End;full;aktiengesellschaft mit sozialer zielsetzung;AGMSZ;ECB
End;abbr;agr;AGR;OWN
End;full;agrupación de interés económico;AIE;ECB
End;abbr;aie;AIE;ECB
End;abbr;aimp;AIMP;ECB
End;full;azienda provinciale;AIMP;ECB
End;abbr;aisbl;AISBL;ECB
End;full;association internationale sans but lucratif;AISBL;ECB
End;abbr;am;AM;ECB
End;full;association momentanée;AM;ECB
End;abbr;amba;AMBA;ECB
End;full;andelsselskab (-forening) begr. ansvar;AMBA;ECB
End;full;anstalt des öffentlichen rechts;AÖR;ECB
End;abbr;aör;AÖR;ECB
End;full;advokatų profesinė bendrija;APB;ECB
End;abbr;apb;APB;ECB
End;abbr;aproj;APROJ;ECB
End;full;association de projet;APROJ;ECB
End;full;anpartselskab;APS;ECB
End;abbr;aps;APS;ECB
End;full;akciju sabiedrība;AS;ECB
End;full;akciová společnost;AS;ECB
End;full;akciová spoločnosť;AS;ECB
End;full;aktsiaselts;AS;ECB
End;full;anonim şirket;AS;OWN
End;full;anonim şirketi;AS;OWN
End;full;anonim şirketler;AS;OWN
End;abbr;as;AS;ECB
End;abbr;as oy;AS OY;ECB
End;full;asunto-osakeyhtiö;AS OY;ECB
End;full;allmennaksjeselskap ;ASA;OWN
End;abbr;asa;ASA;OWN
End;abbr;asbl;ASBL;ECB
End;full;association sans but lucratif;ASBL;ECB
End;abbr;asbl dpu;ASBL DPU;ECB
End;full;association sans but lucratif de droit public;ASBL DPU;ECB
End;abbr;ASC;ASC;OWN
