lemma;term
a;as
aat;aats
aba;abas
abandon;abandoned
abandon;abandoning
abandon;abandons
abandonment;abandonments
abatement;abatements
abbreviate;abbreviated
abbreviate;abbreviating
abc;abcs
ability;abilities
abnormal;abnormals
abomination;abominations
abort;aborted
abort;aborts
abort;aborting
abridge;abridged
abridge;abridging
absence;absences
absolute;absolutes
absolute;absolutest
absorb;absorbed
absorb;absorbs
absorb;absorbing
absorption;absorptions
abstract;abstracts
abstract;abstracted
abstract;abstracting
abuse;abuses
abuse;abused
abuse;abusing
ac;acs
accelerate;accelerated
accelerate;accelerates
accelerate;accelerating
acceleration;accelerations
accept;accepted
accept;accepting
accept;accepts
acceptance;acceptances
access;accessed
access;accessing
access;accesses
accident;accidents
accidental;accidentals
accommodation;accommodations
accomodation;accomodations
accord;according
accord;accords
accord;accorded
account;accounts
account;accounted
account;accounting
accountability;accountabilities
accountant;accountants
accredit;accredited
accredit;accrediting
accredit;accredits
accreditation;accreditations
accrete;accreting
accrete;accreted
accrete;accretes
accretion;accretions
accrual;accruals
accrue;accrued
accrue;accruing
accrue;accrues
accumulate;accumulated
accumulate;accumulates
accumulate;accumulating
accumulation;accumulations
accuracy;accuracies
ach;aches
achieve;achieved
achieve;achieving
achieve;achieves
achievement;achievements
acid;acids
acknowledgement;acknowledgements
acquire;acquired
acquire;acquiring
acquire;acquires
acquirer;acquirers
acquisition;acquisitions
acreage;acreages
acrobat;acrobats
act;acts
act;acted
acting;actings
action;actions
action;actioning
action;actioned
active;actives
activist;activists
activity;activities
actual;actuals
actuary;actuaries
ad;ads
add;added
add;adds
add;adding
addition;additions
address;addressed
address;addresses
adequacy;adequacies
adjudication;adjudications
adjunct;adjuncts
adjust;adjusting
adjust;adjusted
adjust;adjusts
adjustable;adjustables
adjuster;adjusters
adjustment;adjustments
admin;admins
administer;administered
administer;administering
administer;administers
administration;administrations
administrator;administrators
admission;admissions
admit;admitted
admit;admitting
admit;admits
admit;admited
adobe;adobes
adopt;adopted
adopt;adopting
adopt;adopts
adopter;adopters
adoption;adoptions
adr;adrs
advance;advanced
advance;advances
advance;advancing
advancement;advancements
advantage;advantages
advantage;advantaged
advertise;advertising
advertise;advertised
advertise;advertises
advice;advices
advise;advised
advise;advises
advise;advising
adviser;advisers
advisor;advisors
af;afs
af;afer
affair;affairs
affect;affects
affect;affecting
affect;affected
affiliate;affiliated
affiliate;affiliates
affiliate;affiliating
affiliation;affiliations
affinity;affinities
affirmative;affirmatives
afghani;afghanis
after;afters
aga;agas
against;againsts
age;ages
age;ageing
age;aged
age;aging
agency;agencies
agent;agents
aggregate;aggregates
aggregate;aggregated
aggregate;aggregating
aggregation;aggregations
agree;agreeing
agree;agreed
agree;agrees
agreement;agreements
agriculture;agricultures
ai;ais
aia;aias
aid;aids
aid;aided
aid;aiding
air;airs
air;aired
aircraft;aircrafts
airframe;airframes
airline;airlines
airport;airports
alcohol;alcohols
alcoholic;alcoholics
algorithm;algorithms
alien;aliens
alienation;alienations
alignment;alignments
allegation;allegations
